mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_epochs,param_model__dropout_rate,param_model__learning_rate,param_model__num_layers,param_model__units,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_test_f1_micro,split1_test_f1_micro,split2_test_f1_micro,split3_test_f1_micro,split4_test_f1_micro,mean_test_f1_micro,std_test_f1_micro,rank_test_f1_micro,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
3.577354383468628,0.03579697085261272,0.11780076026916504,0.006524119271800088,10,50,0.0,1e-05,1,32,"{'batch_size': 10, 'epochs': 50, 'model__dropout_rate': 0.0, 'model__learning_rate': 1e-05, 'model__num_layers': 1, 'model__units': 32}",0.6625,0.64375,0.7,0.5283018867924528,0.8050314465408805,0.6679166666666665,0.08937052976525611,1000,0.30508255933952527,0.3605413105413106,0.30725623582766437,0.33321308321308324,0.2882882882882883,0.3188762954419743,0.025307848938856143,835,0.34624655647382924,0.3557777777777778,0.32165813983995806,0.3666530667754658,0.31143552311435524,0.3403542127962772,0.020736776742198627,785,0.3243283305540115,0.356838905775076,0.30081076100976595,0.30864336293132516,0.2994152046783626,0.31800731298970825,0.021339724990975927,732,0.6625,0.64375,0.7,0.5283018867924528,0.8050314465408805,0.6679166666666665,0.08937052976525611,1000,0.4902620085719989,0.5273379584017515,0.4794011663386842,0.6414334492975864,0.4792024566860416,0.5235274078592125,0.06153822906141273,1000
3.3772589206695556,0.09107135965288182,0.11319890022277831,0.012370428312341667,10,50,0.0,1e-05,1,64,"{'batch_size': 10, 'epochs': 50, 'model__dropout_rate': 0.0, 'model__learning_rate': 1e-05, 'model__num_layers': 1, 'model__units': 64}",0.75625,0.6625,0.7,0.6981132075471698,0.7421383647798742,0.7118003144654088,0.03362522019160356,971,0.38924731182795697,0.33053221288515405,0.28998881431767337,0.42297979797979796,0.3671584263689527,0.359981312675907,0.04613679252576694,694,0.36949035812672176,0.38066666666666665,0.32165813983995806,0.38493873867190875,0.37952045251315325,0.3672548711636817,0.023354225415854333,580,0.35093167701863354,0.3493679602577345,0.2970625798212005,0.3607536779950573,0.3643712751519443,0.34449743404891403,0.024390251869030134,592,0.75625,0.6625,0.7,0.6981132075471698,0.7421383647798742,0.7118003144654088,0.03362522019160356,971,0.5335983120618928,0.6063507115489875,0.5929574073371454,0.5769415789917626,0.5687719005013943,0.5757239820882365,0.024736101386636265,835
3.226603698730469,0.135876149154298,0.11208395957946778,0.011697354340650347,10,50,0.0,1e-05,1,128,"{'batch_size': 10, 'epochs': 50, 'model__dropout_rate': 0.0, 'model__learning_rate': 1e-05, 'model__num_layers': 1, 'model__units': 128}",0.7375,0.78125,0.7375,0.7987421383647799,0.8238993710691824,0.7757783018867925,0.03406866993576068,425,0.4471677559912854,0.5966029723991507,0.2505307855626327,0.26963906581740976,0.28728070175438597,0.3702442563049729,0.1330347052236212,669,0.3548853156066594,0.3473333333333333,0.325068870523416,0.3281653746770026,0.31873479318734793,0.33483753746555184,0.01383691660852839,859,0.34121280179674335,0.32489023978385684,0.2829736211031175,0.29603729603729606,0.3021914648212226,0.3094610847084473,0.020884738773718752,794,0.7375,0.78125,0.7375,0.7987421383647799,0.8238993710691824,0.7757783018867925,0.03406866993576068,425,0.6383987082708381,0.6115918719211823,0.6031327188900489,0.6198136448136448,0.5499946160093478,0.6045863119810124,0.02968701359203397,766
3.283521842956543,0.04247523344404604,0.10119915008544922,0.009682907260473668,10,50,0.0,1e-05,2,32,"{'batch_size': 10, 'epochs': 50, 'model__dropout_rate': 0.0, 'model__learning_rate': 1e-05, 'model__num_layers': 2, 'model__units': 32}",0.7,0.76875,0.70625,0.7672955974842768,0.7987421383647799,0.7482075471698113,0.038534385447200836,675,0.3628117913832199,0.2611464968152866,0.29650793650793655,0.3040268456375839,0.28603603603603606,0.3021058212760126,0.03363375005279533,873,0.3266184573002755,0.328,0.3270584634220998,0.34296452901104063,0.30900243309002434,0.3267287765646881,0.010766241528662948,1057,0.3112071222833202,0.29078014184397166,0.30218942189421893,0.3219138974534658,0.2970760233918129,0.3046333213733579,0.01092546702510813,829,0.7,0.76875,0.70625,0.7672955974842768,0.7987421383647799,0.7482075471698113,0.038534385447200836,675,0.49976063536778165,0.5732441981390258,0.4845474603094883,0.5479210302037719,0.5654861629437504,0.5341918973927636,0.035617367324502644,965
3.3774964809417725,0.018548484423977774,0.10540060997009278,0.012403629001873388,10,50,0.0,1e-05,2,64,"{'batch_size': 10, 'epochs': 50, 'model__dropout_rate': 0.0, 'model__learning_rate': 1e-05, 'model__num_layers': 2, 'model__units': 64}",0.75625,0.78125,0.75,0.8113207547169812,0.8616352201257862,0.7920911949685535,0.040938829641769196,109,0.2520833333333333,0.2604166666666667,0.25157232704402516,0.2721518987341772,0.28721174004192873,0.26468719316402617,0.013506823711338108,952,0.3333333333333333,0.3333333333333333,0.3305785123966942,0.3333333333333333,0.3333333333333333,0.3327823691460055,0.0011019283746556362,986,0.2870699881376038,0.29239766081871343,0.2857142857142857,0.2996515679442509,0.30855855855855857,0.2946784122346825,0.008495130937424768,987,0.75625,0.78125,0.75,0.8113207547169812,0.8616352201257862,0.7920911949685535,0.040938829641769196,109,0.5465799630805306,0.5474581554460864,0.5467822505539323,0.6436136700212588,0.5363919464049451,0.5641651971013506,0.03993481145732107,863
3.473625326156616,0.023017552739384863,0.10459861755371094,0.011324053717553137,10,50,0.0,1e-05,2,128,"{'batch_size': 10, 'epochs': 50, 'model__dropout_rate': 0.0, 'model__learning_rate': 1e-05, 'model__num_layers': 2, 'model__units': 128}",0.75625,0.78125,0.75625,0.8113207547169812,0.8616352201257862,0.7933411949685535,0.03971158250455926,17,0.2520833333333333,0.2604166666666667,0.2520833333333333,0.27044025157232704,0.28721174004192873,0.2644470649895178,0.013237194168186419,956,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,877,0.2870699881376038,0.29239766081871343,0.2870699881376038,0.2986111111111111,0.30855855855855857,0.29474146135271817,0.00811274020256914,912,0.75625,0.78125,0.75625,0.8113207547169812,0.8616352201257862,0.7933411949685535,0.03971158250455926,17,0.6247912215233984,0.5755815818281337,0.6914037462541041,0.6674974657532796,0.6072372890484413,0.6333022608814713,0.04154176687797697,601
3.488525915145874,0.02121641199898778,0.10679917335510254,0.008357946035721162,10,50,0.0,1e-05,3,32,"{'batch_size': 10, 'epochs': 50, 'model__dropout_rate': 0.0, 'model__learning_rate': 1e-05, 'model__num_layers': 3, 'model__units': 32}",0.75625,0.78125,0.74375,0.8113207547169812,0.8616352201257862,0.7908411949685534,0.042278431378886136,158,0.2520833333333333,0.2604166666666667,0.2510548523206751,0.27044025157232704,0.28721174004192873,0.2642413687869861,0.013434243501545116,1064,0.3333333333333333,0.3333333333333333,0.32782369146005513,0.3333333333333333,0.3333333333333333,0.33223140495867765,0.0022038567493112724,1007,0.2870699881376038,0.29239766081871343,0.2843488649940263,0.2986111111111111,0.30855855855855857,0.29419723672400266,0.008680511776662526,1029,0.75625,0.78125,0.74375,0.8113207547169812,0.8616352201257862,0.7908411949685534,0.042278431378886136,158,0.5287532849861435,0.5492686097427476,0.6331149697038292,0.5442677815076836,0.49769415426583047,0.5506197600412468,0.045004211655629844,914
3.5639432430267335,0.021131057722355743,0.10840072631835937,0.009540717092818818,10,50,0.0,1e-05,3,64,"{'batch_size': 10, 'epochs': 50, 'model__dropout_rate': 0.0, 'model__learning_rate': 1e-05, 'model__num_layers': 3, 'model__units': 64}",0.75625,0.78125,0.7625,0.8113207547169812,0.8616352201257862,0.7945911949685535,0.038607405994122865,7,0.2520833333333333,0.2604166666666667,0.5870020964360587,0.27044025157232704,0.28721174004192873,0.3314308176100629,0.12832060428675693,787,0.3333333333333333,0.3333333333333333,0.34920634920634924,0.3333333333333333,0.3333333333333333,0.3365079365079365,0.006349206349206371,837,0.2870699881376038,0.29239766081871343,0.3183982683982684,0.2986111111111111,0.30855855855855857,0.3010071174048511,0.01125685175752029,867,0.75625,0.78125,0.7625,0.8113207547169812,0.8616352201257862,0.7945911949685535,0.038607405994122865,7,0.4661223278003823,0.580377093596059,0.7172725412415349,0.5349740928994295,0.5212565565510271,0.5640005224176866,0.08486486322151213,864
3.71974892616272,0.01834705299063834,0.11320023536682129,0.006852355719339482,10,50,0.0,1e-05,3,128,"{'batch_size': 10, 'epochs': 50, 'model__dropout_rate': 0.0, 'model__learning_rate': 1e-05, 'model__num_layers': 3, 'model__units': 128}",0.75625,0.78125,0.75625,0.8113207547169812,0.8616352201257862,0.7933411949685535,0.03971158250455926,17,0.2520833333333333,0.2604166666666667,0.2520833333333333,0.27044025157232704,0.28721174004192873,0.2644470649895178,0.013237194168186419,956,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,877,0.2870699881376038,0.29239766081871343,0.2870699881376038,0.2986111111111111,0.30855855855855857,0.29474146135271817,0.00811274020256914,912,0.75625,0.78125,0.75625,0.8113207547169812,0.8616352201257862,0.7933411949685535,0.03971158250455926,17,0.6484897781471087,0.6897624247400108,0.7478229665818903,0.6537601204981865,0.5587474428763634,0.6597165465687119,0.061679454089324286,220
3.2128039836883544,0.03713485686211756,0.10056276321411133,0.009632035871725775,10,50,0.0,0.0001,1,32,"{'batch_size': 10, 'epochs': 50, 'model__dropout_rate': 0.0, 'model__learning_rate': 0.0001, 'model__num_layers': 1, 'model__units': 32}",0.7625,0.75625,0.7375,0.7987421383647799,0.8616352201257862,0.7833254716981132,0.043901812275566394,311,0.5909090909090909,0.35968253968253966,0.5865800865800866,0.4945533769063181,0.6252723311546841,0.5313994850465439,0.09616937997324045,6,0.3839831117499102,0.3506666666666667,0.3381870654597927,0.38360347662673244,0.42574916297544035,0.3764378966957085,0.03055211670415313,537,0.38430131272236534,0.3378675645342312,0.31393939393939396,0.3907463694697737,0.4550545240200412,0.3763818329371611,0.04866386226079902,512,0.7625,0.75625,0.7375,0.7987421383647799,0.8616352201257862,0.7833254716981132,0.043901812275566394,311,0.6912968519666136,0.653474083196497,0.6797793521902071,0.6570252814132863,0.6126947315628447,0.6588540600658898,0.02703099993388753,234
